starting_timestamp,prover,threads,memory_limit,bandwidth_limit,num_variables,run_time
2024-10-08 18:16:45,gemini,8,1G,,8,104167
2024-10-08 18:16:45,gemini,8,1G,,9,146521
2024-10-08 18:16:45,gemini,8,1G,,10,236180
2024-10-08 18:16:45,plonky2,8,1G,,2,14452
2024-10-08 18:16:45,plonky2,8,1G,,4,23546
2024-10-08 18:16:45,plonky2,8,1G,,7,21119
2024-10-08 18:16:45,plonky2,8,1G,,13,20657
2024-10-08 18:16:45,plonky2,8,1G,,26,8991
2024-10-08 18:16:45,plonky2,8,1G,,52,15908
2024-10-08 18:16:45,halo2,8,1G,,5,10223
2024-10-08 18:16:45,halo2,8,1G,,6,13643
2024-10-08 18:16:45,halo2,8,1G,,7,18794
2024-10-08 18:16:45,halo2,8,1G,,8,30342
2024-10-08 18:16:45,halo2,8,1G,,9,42557
2024-10-08 18:16:45,halo2,8,1G,,10,76853
2024-10-08 18:16:46,scribe,1,2G,,5,83474
2024-10-08 18:16:46,scribe,1,2G,,6,83391
2024-10-08 18:16:46,scribe,1,2G,,7,89996
2024-10-08 18:16:46,scribe,1,2G,,8,110787
2024-10-08 18:16:46,scribe,1,2G,,9,141977
2024-10-08 18:16:46,scribe,1,2G,,10,180953
2024-10-08 18:16:47,hp,1,2G,,5,18140
2024-10-08 18:16:47,hp,1,2G,,6,24529
2024-10-08 18:16:47,hp,1,2G,,7,33860
2024-10-08 18:16:47,hp,1,2G,,8,48753
2024-10-08 18:16:47,hp,1,2G,,9,74497
2024-10-08 18:16:47,hp,1,2G,,10,115024
2024-10-08 18:16:47,gemini,1,2G,,5,53619
2024-10-08 18:16:47,gemini,1,2G,,6,80856
2024-10-08 18:16:47,gemini,1,2G,,7,123807
2024-10-08 18:16:47,gemini,1,2G,,8,204681
2024-10-08 18:16:47,gemini,1,2G,,9,346729
2024-10-08 18:16:47,gemini,1,2G,,10,620457
2024-10-08 18:16:48,plonky2,1,2G,,2,53214
2024-10-08 18:16:48,plonky2,1,2G,,4,13809
2024-10-08 18:16:48,plonky2,1,2G,,7,155273
2024-10-08 18:16:48,plonky2,1,2G,,13,179625
2024-10-08 18:16:48,plonky2,1,2G,,26,124880
